lang,zipped,raw,compression ratio
Kotlin,388.60068702711,2364.19444444444,0.164369173584801
ARM-Assembly,2172.08697948027,19422.4722222222,0.111833702457048
Go,463.794871782071,6207.53472222222,0.074714825214226
Phix,365.549373824668,5584.11111111111,0.065462410498478
Julia,265.454184012659,4453.68055555556,0.059603328236357
Racket,287.375535721724,5045.90972222222,0.056952175433524
REXX,727.010873474738,12789.5694444444,0.056844045972989
C,515.840707727781,9769.84027777778,0.052799297947695
NetRexx,622.883930229158,12660.3541666667,0.049199565986009
360-Assembly,881.558937760872,18396.0763888889,0.047921030502642
ALGOL-68,574.269456025798,12377.6041666667,0.046395849171872
Ada,469.249833991018,10400.1458333333,0.045119543659382
D,362.246480008896,8052.63888888889,0.044984816158679
Java,420.307534685989,9362.18055555555,0.044894192351009
C++,480.890452929651,10724.5555555556,0.044840128846229
Perl-6,277.176229290493,6384.71527777778,0.043412465118878
FreeBASIC,532.273876553388,12350.7916666667,0.043096336730376
PureBasic,393.618615083345,9643.69444444445,0.040816164111266
AutoHotkey,335.74391626074,8256.47916666667,0.040664296425069
COBOL,608.503836311478,15492.1597222222,0.039278179880797
Scala,356.678471918741,9087.61111111111,0.039248870529092
Fortran,552.676212517051,14673.0277777778,0.037666132776909
Seed7,359.277473697558,9850.95833333334,0.036471322031873
BBC-BASIC,332.891003953637,9337.57638888889,0.035650686012032
LLVM,739.734493538655,21418.8125,0.034536671607665
Erlang,346.226908025457,10113.2083333333,0.034235120706877
Rust,421.477713018562,12322.0833333333,0.034205069192999
Pascal,513.758031266113,15550.6527777778,0.033037714789715
Tcl,284.407792399387,8927.65277777778,0.031856950474969
Nim,235.191521699538,7565.06944444445,0.03108914246283
ALGOL-W,603.186261761247,19440.1180555556,0.031027911458021
Lua,270.845200207315,8732.48611111111,0.031015818034076
MIPS-Assembly,632.286851279552,20774.4513888889,0.030435790550779
Liberty-BASIC,424.735245024882,14015.2222222222,0.030305280807566
PicoLisp,167.239725312467,5569.04166666667,0.030030252119225
Ring,269.62146478581,9135.26388888889,0.029514359745398
Perl,270.031699934335,9231,0.029252702841982
Icon,307.46791554055,10965.7361111111,0.028038967236227
Ruby,263.465722869198,9486.32638888889,0.027773208728912
Sidef,232.379375049454,8400.10416666667,0.027663868261489
AWK,344.870243013671,12615.0625,0.027337973395984
OCaml,355.335399471941,13138.4930555556,0.027045369508468
Mercury,496.794789449798,18390.8333333333,0.027013174468248
ABAP,538.252813362485,19992.7777777778,0.026922362632408
