lang,measure
Kotlin,2364.1944444444443
Julia,4453.680555555557
Racket,5045.909722222223
PicoLisp,5569.041666666668
Phix,5584.111111111112
Go,6207.534722222223
Mathematica,6302.868055555557
Perl-6,6384.715277777778
Nim,7565.069444444446
D,8052.6388888888905
AutoHotkey,8256.479166666668
Sidef,8400.104166666668
Lua,8732.486111111113
Tcl,8927.65277777778
Scala,9087.611111111113
Ring,9135.26388888889
Clojure,9185.173611111113
Perl,9231.000000000002
BBC-BASIC,9337.57638888889
Java,9362.180555555555
Ruby,9486.32638888889
PureBasic,9643.694444444445
C,9769.84027777778
Seed7,9850.958333333336
Erlang,10113.208333333336
Ada,10400.145833333336
Factor,10522.118055555557
C++,10724.555555555555
Icon,10965.736111111113
Zkl,11168.222222222224
PHP,11366.819444444445
Python,11550.13888888889
Run-BASIC,12257.291666666668
Rust,12322.083333333336
FreeBASIC,12350.791666666668
ALGOL-68,12377.604166666668
Common-Lisp,12467.937500000002
VBScript,12580.01388888889
Elixir,12585.15277777778
AWK,12615.062500000002
NetRexx,12660.354166666668
REXX,12789.569444444445
TUSCRIPT,12928.270833333336
Lasso,12967.541666666668
Haskell,13007.048611111113
OCaml,13138.493055555557
PL-I,13347.819444444445
Bracmat,13569.868055555557
Objeck,13606.430555555557
Oz,13637.618055555557
PowerShell,13919.444444444445
Liberty-BASIC,14015.222222222224
Forth,14150.51388888889
Delphi,14206.847222222224
R,14291.993055555557
Gambas,14335.909722222224
Maple,14548.284722222224
XPL0,14564.180555555558
Groovy,14574.694444444447
VBA,14636.826388888892
Scheme,14651.868055555558
Fortran,14673.027777777781
Oforth,14966.60416666667
MATLAB,15016.326388888892
Euphoria,15441.97916666667
PARI-GP,15451.444444444447
NewLISP,15467.576388888892
COBOL,15492.159722222226
Pascal,15550.652777777781
Batch-File,15636.347222222226
JavaScript,15790.027777777781
REBOL,15814.097222222226
Swift,15838.888888888892
HicEst,16216.368055555558
Smalltalk,16218.493055555558
UNIX-Shell,16275.638888888892
Elena,16295.319444444447
Logo,16657.63888888889
Maxima,16664.44444444445
J,16670.062500000004
Fantom,16836.500000000004
E,16962.47916666667
SNOBOL4,16973.66666666667
Aime,17126.20138888889
C-sharp,17229.56944444445
Ursala,17413.32638888889
Visual-Basic-.NET,17421.861111111113
Prolog,17432.812500000004
Standard-ML,17488.49305555556
Stata,17545.32638888889
Ursa,17551.34027777778
EchoLisp,17609.19444444445
Retro,17690.00694444445
