lang,measure
Burlesque,110.36202868183382
Excel,115.1532603709233
IDL,141.71095871929847
GUISS,144.6771981608848
TI-83-BASIC,144.96946875480407
PARI-GP,145.51154266694363
K,147.33222503655946
TI-89-BASIC,147.94794986569
Axe,149.42819787737744
Wart,150.8544400560541
V,152.21575581820682
Klong,152.44669696616972
Nial,156.5863388238601
APL,158.51151452140684
Befunge,158.6537188918175
Halon,160.76548219884063
Oforth,162.31079442534386
Mathematica,167.91746607246492
Ela,169.45344135924432
Q,170.46005515045917
MIRC-Scripting-Language,172.35579598777298
Stata,172.8682277335165
Golfscript,173.83269603753064
Slate,176.6856447778151
Frink,177.65530040015818
Maple,178.1621611839045
FALSE,179.50587587682872
Hy,180.73270770158499
Trith,181.92090599879077
SPL,182.65240505396628
Gecho,184.82960388748785
Octave,185.03681798193514
GEORGE,186.09628136124533
Dc,186.21326841668522
Panda,186.34354577856166
Yorick,186.72443244905952
Deja-Vu,186.73395021749351
Qi,186.90683464755801
Ursala,189.21185741174327
SmileBASIC,189.96670340399902
Joy,191.23897530543854
Moonscript,192.03544590659115
SETL,192.94229062038477
Rhope,195.62816671044888
Inform-6,195.8807151548659
Fish,196.00758814619567
UnixPipes,196.281845318795
Brat,196.48024758875016
Gema,197.3946800187367
Ioke,198.4350908086775
LFE,198.93554496487886
Astro,199.25368086456493
Retro,200.4397697404701
Wrapl,200.59667896012868
ProDOS,200.664168914776
Computer-zero-Assembly,202.85763475456108
TPP,203.89631592993916
Lucid,205.82196012808686
Wortel,206.20500297006262
Dao,206.42272930917497
Raven,206.6918313063416
XEec,207.59712417787534
Salmon,207.9580035239152
Wren,208.31568061192522
Shiny,209.6052049876501
Suneido,209.76819624513521
PicoLisp,210.0839194917329
Openscad,210.3014831098042
Unlambda,210.71752201393184
Maxima,210.801054550101
AntLang,211.11054085491685
ChucK,211.51257769409304
J,212.286507921856
Smalltalk,212.47230039558963
OASYS-Assembler,212.87093772443458
Sinclair-ZX81-BASIC,213.3599126941203
Self,213.76383661679435
Make,213.7814185500457
SPAD,214.03826733929242
Alore,214.75984101606625
Logo,214.8798305915998
LSE64,216.52752877887062
Visual-Objects,217.0512768124317
MoonScript,217.06517612739955
MATLAB,217.0967469375132
SkookumScript,217.80594118717178
Lang5,219.29011423267477
JAMES-II-Rule-based-Cellular-Automata,219.7580195591622
Emacs-Lisp,219.92113668214014
Dylan,220.20346376042863
Scilab,220.35520547539545
Io,222.0722976813906
Babel,222.57058567684942
PILOT,222.68487276235348
Gnuplot,222.9390079854027
SNUSP,223.05399307299638
Vorpal,223.1579011350336
Arbre,223.80650084050302
Pure,223.82146799629112
FunL,223.8437683110885
Curry,224.93225332068553
PostScript,226.192700558068
Jq,226.94032064453194
Niue,227.1654053537572
Peloton,227.41892263641716
0815,227.68533126103364
Gastona,228.28760409294154
L++,228.32301939540883
Powerbuilder,228.59049813489332
Purity,228.7946826999368
Coco,229.34059937891178
Gri,229.65017837274368
Aikido,230.4068191462916
XL,230.67527265088458
Toka,231.24018999654226
Opa,231.51418831546405
LiveCode,232.17083055453713
KonsolScript,233.00334111827308
Genyris,233.13909928882504
Cat,233.4631939048991
NESL,233.9222900737243
Egison,234.70347288598015
Lisp,235.4288155480571
Locomotive-Basic,235.81695065948918
Set-lang,236.1200915571776
I,236.18145757661873
Brlcad,236.73362871051563
GLSL,236.808190953519
Processing,237.11701237486864
Clean,237.55838978559325
Sage,238.14998560948533
TXR,238.37311060644126
Clay,238.9034435230509
Euler-Math-Toolbox,239.01139802721994
Piet,240.08138099747978
MOO,240.38621868022906
XQuery,240.38801354075736
JavaFX-Script,240.4959137459916
MAXScript,240.50731702613027
Yacas,240.99825104276817
RLaB,241.64605272420567
Supernova,241.74443480051372
RPL-2,242.15587999544582
HolyC,242.4917203294465
Harbour,243.14655940041695
Pop11,243.3082998934392
4DOS-Batch,243.57116600741102
Ferite,243.6227560332787
B,243.65611292010243
TorqueScript,244.89941504644875
PASM,245.2587799875638
ColdFusion,245.3726193663258
HPPPL,245.65020816276777
Vim-Script,246.9791925329757
Ursa,247.09819311938924
Shen,247.3282996208838
NGS,247.3997656106863
MyrtleScript,247.40521262309628
Potion,247.5033962524707
Turing,247.62808209789108
Luck,247.65988458163872
Monte,247.86963194213226
FOCAL,247.9128970456455
4D,248.21098338225693
SQL,248.23069537581185
OpenLisp,248.43320731829215
Boo,248.58630493423638
RPL,248.74925632099018
Futhark,248.89416448706342
FP,249.00733045277806
R,249.7414345619546
SIMPOL,250.04821898578962
Lush,250.2017910649388
DMS,250.56124392646848
Crystal,250.6874711083601
Gentee,250.83903246465343
LaTeX,251.16288165821373
FUZE-BASIC,251.5862474001768
NewtonScript,251.75230928672414
SSEM,252.27957537212077
S-lang,252.32676814701594
ZED,252.5234168689123
Bori,252.57227266588922
UNIX-Shell,252.77823174788512
JScript.NET,252.93940042673572
Lingo,253.71728257695406
Lobster,253.75135700988574
SuperCollider,254.2136830269967
Rascal,255.02224459377743
Bc,255.1994799554002
Red,255.2627334477826
Crack,255.42991031079066
TransFORTH,255.48490716587577
Robotic,256.266597697988
HicEst,256.3824104668426
OASYS,256.421392430373
Friendly-interactive-shell,256.7220577495875
OOC,256.73396055766096
Sidef,256.88535757749963
DWScript,257.4872224454801
ZX-Spectrum-Basic,257.7912538768382
MEL,257.90176899941093
Glee,258.29503302347604
Falcon,258.72277818308663
Brace,259.1398286816063
Nix,259.1815245259577
Hope,259.4659458425651
Apex,259.6512700940194
Beeswax,259.66994736534167
XProc,259.74967234738784
Pike,259.7619767652633
Uniface,259.8719895378195
TUSCRIPT,260.0933056963854
8th,260.3612505973099
SoneKing-Assembly,260.8576143731291
E,260.9759834213742
Gdl,261.2091648529891
Axiom,261.2388665139706
Zkl,261.3703038681024
Symsyn,261.6811609022956
SAS,261.91928594348525
Clojure,262.22315036923504
Metafont,262.35138788156394
Clipper,262.8813198055312
Fexl,263.310757251224
App-Inventor,263.4224076026352
Chapel,263.50736165351725
Quill,263.77473592543413
Aime,264.9164994625837
NASL,265.28916756384564
Mathprog,265.351272740509
Picat,265.3773441121905
ScriptBasic,265.59797175802515
Hoon,265.9724048872011
Ol,266.0871796669093
ACL2,266.81885435082336
Algae,266.85132068306706
Setl4,267.17140124973
AmbientTalk,267.4214242875547
Sparkling,267.4319438866854
LiveScript,267.5169385476252
TI-83-Hex-Assembly,267.6148489106257
Smart-BASIC,267.6877776127553
Pict,268.3437114782567
Squirrel,269.0537764055329
FRISC-Assembly,269.1507625424964
Kamailio-Script,269.19923335803827
LC3-Assembly,269.29624168408037
PIR,269.6060638906232
TIScript,269.7216076472412
GML,269.73879479438
Informix-4GL,270.3324733079088
Vox,270.5488944378232
Kite,270.62022076625215
PL-pgSQL,270.68894083128953
Terra,271.3492965630315
MBS,271.5998775563497
GAP,271.7156996651847
Wollok,271.82978975762944
DIV-Games-Studio,271.89532548472016
ToffeeScript,272.0912865022227
Deluge,272.28409072157234
Fancy,272.87444310819063
Iptscrae,273.09133785488405
Comal,273.24870751831355
Asymptote,273.95087104012936
Hack,274.1217582676601
Nickle,274.64361990108296
StreamIt,274.8787732433547
LotusScript,275.5304890759991
Felix,276.05041202114626
HyperTalk,276.19359052845186
Blast,276.22165171771314
M4,276.24689718633533
True-BASIC,276.32927793567006
RapidQ,276.48319749653484
AmigaE,277.55808994228784
GLBasic,277.71550916279693
Factor,278.00894088864743
Jack,278.05079714180204
DDNC,278.91850722560685
DM,278.9546396522248
NewLISP,278.98805258010776
MLite,279.3660924434781
HLA,279.4599358475228
XLISP,280.01636177506435
Metapost,280.37259690657913
ANTLR,280.5731617268138
Efene,280.76087820434054
NSIS,280.76390443670016
GW-BASIC,281.1951158539321
BaCon,281.28553679446657
SheerPower-4GL,281.4014580360402
Julia,281.4648560792144
Groovy,281.9508133047058
Cobra,282.24915620483097
Lasso,282.66793463088226
Lily,282.6910767605221
POV-Ray,283.09967125223073
Gosu,283.72563202184153
BML,283.89652527560344
OPL,283.9225332414812
Agda,284.238488086493
Lhogho,284.35252678066604
Jacquard-Loom,284.4248187988567
RTL-2,284.5902695105756
AMPL,284.8433377620806
Glagol,285.3801973050559
JCL,285.5585296364413
ELLA,286.33580385141
UBASIC,287.02323101947684
Unicon,287.1043468572617
Dafny,287.77338139350337
Sisal,288.15181321182763
Lambdatalk,288.47742548124546
DUP,288.57541790833864
Occam,289.2603678108058
8086-Assembly,289.50533148480315
Xanadu,290.35744141173564
Commodore-BASIC,290.4351598161918
PHL,290.68472967748096
CLIPS,290.87648225470156
BASIC256,291.0921037096681
Lisaac,291.2252618662278
Ring,291.2691495513461
Free-Pascal,291.94355512020167
Lilypond,292.32296342691694
Xojo,292.5387766144351
